账期,账单大类,业务大类,业务小类,订单号,子订单号,下单时间,确认收货时间,商品ID,sku,商品名称,数量,单价（元）,订单实际金额（元）,退款单号,退款金额（元）,收/付渠道,业务流水号,商户订单号,打款时间,打款更新时间,备注
20260320	,货款收入	,交易货款	,五金/工具	,4502129006056034338	,4502129006056034338	,2026-03-12 13:37:58	,2026-03-20 21:26:26	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,聚合结算账户渠道	,4328202583202603121249241140	,	,2026-03-20 21:26:26	,2026-03-20 21:26:26	,	
20260307	,货款收入	,交易货款	,五金/工具	,4502059848005031616	,4502059848005031616	,2026-02-24 17:28:46	,2026-03-07 11:51:14	,969718512269	,6015750557573|颜色分类#3B防爆相机基础款[EXSY-2000-P1-TQ]	,天旗 防爆数码相机工业4K高清防抖录像摄影连拍高像素防爆照相机	,1	,999	,799	,	,0	,支付宝	,2026022423001144031455009359	,T200P4502059848005031616	,2026-03-07 11:51:14	,2026-03-07 11:51:14	,	
20260313	,货款收入	,交易货款	,五金/工具	,5096781759578031429	,5096781759578031429	,2026-03-05 14:07:41	,2026-03-13 09:09:15	,937006851899	,6182111287813|颜色分类#3B310N 4.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手化工厂石油套筒无刷大扭力轮胎汽修防爆电动工具	,2	,1099	,1618	,	,0	,支付宝	,2026030522001156311427329395	,T200P5096781759578031429	,2026-03-13 09:09:14	,2026-03-13 09:09:14	,	
20260328	,货款收入	,交易货款	,五金/工具	,4502158668008002244	,4502158668008002244	,2026-03-16 16:09:04	,2026-03-28 09:07:48	,969718512269	,6015750557573|颜色分类#3B防爆相机基础款[EXSY-2000-P1-TQ]	,天旗 防爆数码相机工业4K高清防抖录像摄影连拍高像素防爆照相机	,4	,999	,3196	,	,0	,支付宝	,2026031622001184071449613888	,T200P4502158668008002244	,2026-03-28 09:07:48	,2026-03-28 09:07:48	,	
20260330	,货款收入	,交易货款	,五金/工具	,2701775571010018085	,2701775571010018085	,2026-03-20 09:51:34	,2026-03-30 10:23:28	,941179280898	,6017078385833|颜色分类#3B4.0A/20V【俩电标配】[EXDC-20V/4.0TJB-TQ]	,天旗防爆电锤工业多功能混凝土大功率冲击钻防爆电动工具	,1	,1099	,949	,	,0	,支付宝	,2026032023001114071417118420	,T200P2701775571010018085	,2026-03-30 10:23:27	,2026-03-30 10:23:27	,	
20260326	,货款收入	,交易货款	,五金/工具	,4502125908024056939	,4502125908024056939	,2026-03-15 09:36:38	,2026-03-26 21:39:58	,941174116084	,6181515206318|颜色分类#3B2.0A/20V 无冲击【一电标配】[EXDZ-20V/TCA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,1	,999	,819	,	,0	,支付宝	,2026031522001193881459528158	,T200P4502125908024056939	,2026-03-26 21:39:58	,2026-03-26 21:39:58	,	
20260323	,货款收入	,交易货款	,五金/工具	,4502117233211046846	,4502117233211046846	,2026-03-13 10:59:41	,2026-03-23 19:03:55	,941174116084	,6181515206320|颜色分类#3B2.0A/20V 无冲击【俩电标配】[EXDZ-20V/TCA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,2	,1199	,2038	,	,0	,支付宝	,2026031322001192271407366449	,T200P4502117233211046846	,2026-03-23 19:03:54	,2026-03-23 19:03:54	,	
20260323	,货款收入	,交易货款	,五金/工具	,4502116224204010949	,4502116224204010949	,2026-03-13 10:35:53	,2026-03-23 14:03:31	,965517205874	,6016029152235|颜色分类#3B310N 4.0A/20V 【俩电标配+22*42防爆套筒】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1099	,829	,	,0	,聚合结算账户渠道	,4341402571202603137584579624	,	,2026-03-23 14:03:31	,2026-03-23 14:03:31	,	
20260319	,货款收入	,交易货款	,五金/工具	,3283430270617462091	,3283430270617462091	,2026-03-08 15:40:04	,2026-03-19 15:38:00	,941174116084	,6181515206319|颜色分类#3B2.0A/20V 有冲击【一电标配】[EXDZ-20V/TJA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,1	,1099	,919	,	,0	,支付宝	,2026030823001118821453438702	,T200P3283430270617462091	,2026-03-19 15:37:59	,2026-03-19 15:37:59	,	
20260314	,货款收入	,交易货款	,五金/工具	,5095160787256743829	,5095160787256743829	,2026-03-04 11:48:29	,2026-03-14 14:27:01	,941174116084	,6181515206320|颜色分类#3B2.0A/20V 无冲击【俩电标配】[EXDZ-20V/TCA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,1	,1199	,1019	,	,0	,支付宝	,2026030423001136661448888223	,T200P5095160787256743829	,2026-03-14 14:27:01	,2026-03-14 14:27:01	,	
20260331	,货款收入	,交易货款	,五金/工具	,2701790474023005761	,2701790474023005761	,2026-03-27 11:15:26	,2026-03-31 21:08:11	,965517205874	,6053965041801|颜色分类#3B310N.M 5.0A/20V 【俩电+22*60防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1200	,879	,	,0	,支付宝	,2026032723001113761449689952	,T200P2701790474023005761	,2026-03-31 21:08:11	,2026-03-31 21:08:11	,	
20260324	,货款收入	,交易货款	,五金/工具	,2701718871090005169	,2701718871090005169	,2026-03-13 20:55:20	,2026-03-24 18:43:00	,937006851899	,6182111287816|颜色分类#3B900N 7.5A/21V【俩电标配+22*60防爆套筒】[YPEX-DBS/90CGB-TQ]	,天旗防爆电动扳手化工厂石油套筒无刷大扭力轮胎汽修防爆电动工具	,1	,2999	,2649	,	,0	,聚合结算账户渠道	,4300602287202603135715930426	,	,2026-03-24 18:42:59	,2026-03-24 18:42:59	,	
20260323	,货款收入	,交易货款	,五金/工具	,3289558622729576080	,3289558622729576080	,2026-03-11 18:32:36	,2026-03-23 09:42:32	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,2	,1199	,1698	,	,0	,支付宝	,2026031123001103121409607112	,T200P3289558622729576080	,2026-03-23 09:42:31	,2026-03-23 09:42:31	,	
20260319	,货款收入	,交易货款	,五金/工具	,3284350716258503260	,3284350716258503260	,2026-03-08 18:15:33	,2026-03-19 16:15:53	,965517205874	,6016029152235|颜色分类#3B310N 4.0A/20V 【俩电标配+22*42防爆套筒】[YPEX-DBS/4.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1099	,829	,	,0	,支付宝	,2026030822001153361449805411	,T200P3284350716258503260	,2026-03-19 16:15:52	,2026-03-19 16:15:52	,	
20260319	,货款收入	,交易货款	,五金/工具	,4502119357034019337	,4502119357034019337	,2026-03-07 18:15:35	,2026-03-19 15:11:25	,952130258399	,6037995923868|颜色分类#3B无线防爆吸尘器	,天旗工业防爆吸尘器工厂车间粉尘大功率铁屑干湿多用吸尘机	,1	,1099	,869	,	,0	,支付宝	,2026030722001199001410704969	,T200P4502119357034019337	,2026-03-19 15:11:25	,2026-03-19 15:11:25	,	
20260320	,货款收入	,交易货款	,其他	,3287130996821251684	,3287130996821251684	,2026-03-10 09:43:26	,2026-03-20 10:23:48	,884576851638	,	,补差价链接【与客服沟通拍下，单排不发货】	,2	,25	,50	,	,0	,支付宝	,2026031023001140951450435909	,T200P3287130996821251684	,2026-03-20 10:23:48	,2026-03-20 10:23:48	,	
20260319	,货款收入	,交易货款	,五金/工具	,3283293542829652353	,3283293542829652353	,2026-03-08 14:36:11	,2026-03-19 15:01:01	,965517205874	,6016029152234|颜色分类#3B310N 5.0A/20V 【俩电标配】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,10	,1099	,7990	,	,0	,支付宝	,2026030822001178851437437374	,T200P3283293542829652353	,2026-03-19 15:01:01	,2026-03-19 15:01:01	,	
20260312	,货款收入	,交易货款	,五金/工具	,5090271987613856621	,5090271987613856621	,2026-03-01 14:33:59	,2026-03-12 15:24:20	,941174116084	,6181515206320|颜色分类#3B2.0A/20V 无冲击【俩电标配】[EXDZ-20V/TCA-TQ]	,天旗防爆手电钻工业手持无刷锂电化工厂冲击钻防爆电动工具	,1	,1199	,1019	,	,0	,支付宝	,2026030122001188031421570600	,T200P5090271987613856621	,2026-03-12 15:24:19	,2026-03-12 15:24:19	,	
20260312	,货款收入	,交易货款	,五金/工具	,3283438261599763073	,3283438261599763073	,2026-03-08 12:48:11	,2026-03-12 18:15:50	,965517205874	,6016029152234|颜色分类#3B310N 5.0A/20V 【俩电标配】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,3	,1099	,2397	,	,0	,聚合结算账户渠道	,4340402467202603088283494316	,	,2026-03-12 18:15:50	,2026-03-12 18:15:50	,	
20260319	,货款收入	,交易货款	,五金/工具	,3284993139088400164	,3284993139088400164	,2026-03-09 11:53:06	,2026-03-19 16:38:13	,965517205874	,6016029152228|颜色分类#3B310N 5.0A/20V【俩电标配+22*42防爆套筒】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1199	,849	,	,0	,支付宝	,2026030922001188891438851522	,T200P3284993139088400164	,2026-03-19 16:38:12	,2026-03-19 16:38:12	,	
20260315	,货款收入	,交易货款	,五金/工具	,5096732762490209633	,5096732762490209633	,2026-03-05 11:49:21	,2026-03-15 16:33:40	,965517205874	,6016029152234|颜色分类#3B310N 5.0A/20V 【俩电标配】[YPEX-DBS/5.0CGB-TQ]	,天旗防爆电动扳手套筒无刷大扭力轮胎汽修防爆冲击扳手	,1	,1099	,799	,	,0	,聚合结算账户渠道	,4306802463202603055100465992	,	,2026-03-15 16:33:39	,2026-03-15 16:33:39	,	
20260307	,货款收入	,交易货款	,五金/工具	,5096127205966972920	,5096127205966972920	,2026-03-04 16:44:39	,2026-03-07 19:27:05	,969718512269	,6015750557573|颜色分类#3B防爆相机基础款[EXSY-2000-P1-TQ]	,天旗 防爆数码相机工业4K高清防抖录像摄影连拍高像素防爆照相机	,1	,999	,799	,	,0	,聚合结算账户渠道	,4315502478202603042533903911	,	,2026-03-07 19:27:05	,2026-03-07 19:27:05	,	
20260327	,货款收入	,交易货款	,其他	,4502137286051013337	,4502137286051013337	,2026-03-15 21:57:12	,2026-03-27 14:07:22	,884576851638	,	,补差价链接【与客服沟通拍下，单排不发货】	,1	,95	,75	,	,0	,支付宝	,2026031522001185191445951324	,T200P4502137286051013337	,2026-03-27 14:07:22	,2026-03-27 14:07:22	,	
20260328	,货款收入	,交易货款	,五金/工具	,4502171990032010306	,4502171990032010306	,2026-03-18 10:15:52	,2026-03-28 11:43:44	,969718512269	,6015750557573|颜色分类#3B防爆相机基础款[EXSY-2000-P1-TQ]	,天旗 防爆数码相机工业4K高清防抖录像摄影连拍高像素防爆照相机	,1	,999	,799	,	,0	,支付宝	,2026031822001175431438098460	,T200P4502171990032010306	,2026-03-28 11:43:44	,2026-03-28 11:43:44	,	
